STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_dist_to_poll_miles,nearest_polling_idx,min_manhattan_dist_miles,min_dist_to_civic_center_miles,dist_to_city_hall_miles,min_dist_to_poll_miles_norm,min_manhattan_dist_miles_norm,min_dist_to_civic_center_miles_norm,accessibility_score,accessibility_category,min_network_dist_miles,nearest_poll_network_idx,driving_to_euclidean_ratio,driving_euclidean_diff_miles,min_walking_dist_miles,nearest_poll_walking_idx,osrm_walking_to_euclidean_ratio,min_google_walking_dist_miles,nearest_poll_google_walking_idx,google_walking_to_euclidean_ratio,osrm_walking_to_driving_ratio,google_to_osrm_walking_ratio,google_walking_to_driving_ratio
1,101,2000,3,1133,32.346434,-86.274689,11010020003,POINT (-86.274689 32.346434),1.1242765276480962,12,1.4719811399972969,2.6174952211986917,3.2205823264833184,0.1529370474768061,0.1550678227160549,0.0953877879341577,0.1363115021857862,Excellent,1.1788683559720134,12,1.0485572961646006,0.05459182832391729,1.1788683559720134,12,1.0485572961646006,1.6572010886450348,12,1.4740155539062776,1.0,1.4057558507273877,1.4057558507273877
1,101,2000,4,657,32.349351,-86.26699,11010020004,POINT (-86.26699 32.349351),1.2462355380896597,33,1.5882585599979675,2.4958084044776405,3.495805026361906,0.1719629017010148,0.1692311105877803,0.0908289254171337,0.1468031714818801,Excellent,1.4915431170541962,33,1.196838857075578,0.24530757896453648,1.4915431170541962,33,1.196838857075578,1.6311034337057428,33,1.3088243625326579,1.0,1.093567738710215,1.093567738710215
1,101,2100,1,833,32.338882,-86.28592,11010021001,POINT (-86.28592 32.338882),0.7162366678739613,6,0.9930197100006596,2.6516547599875113,3.1697578531211335,0.0892819976234047,0.0967274449156489,0.0966675374187724,0.0937312937496883,Excellent,0.8231324642399991,6,1.1492464727941694,0.10689579636603774,0.8231324642399991,6,1.1492464727941694,0.8251829942709434,6,1.1521093952371533,1.0,1.002491130067185,1.002491130067185
1,101,2100,2,1585,32.330458,-86.289605,11010021002,POINT (-86.289605 32.330458),0.3887585788522127,6,0.5267453100030934,2.5164134348372493,3.5934340994053824,0.0381947482205772,0.0399324235405319,0.0916008701774597,0.0547378874036284,Excellent,0.4819988318192551,6,1.2398410171225773,0.09324025296704241,0.4819988318192551,6,1.2398410171225773,0.4803211254303006,6,1.2355254689129203,1.0,0.9965192729147865,0.9965192729147865
1,101,2100,3,1468,32.339216,-86.294199,11010021003,POINT (-86.294199 32.339216),0.4204307674657289,6,0.4448147100006991,2.4607929389475025,2.9174729750926023,0.043135674203337,0.0299527845587726,0.0895171095801938,0.0530952379230247,Excellent,0.4640411597300757,6,1.1037278801625803,0.04361039226434682,0.4640411597300757,6,1.1037278801625803,0.4666509252240049,6,1.109935241031197,1.0,1.005623995715051,1.005623995715051
1,101,2201,1,810,32.341066,-86.303322,11010022011,POINT (-86.303322 32.341066),0.5176522200179856,8,0.7295114700038283,2.032834199446586,2.6509889258050503,0.058302418972977,0.0646305592122571,0.0734841069188133,0.0647553674285119,Excellent,0.6319982104465185,8,1.2208934609119613,0.11434599042853288,0.6319982104465185,8,1.2208934609119613,0.6393925460126512,8,1.2351778303789285,1.0,1.0116999311768753,1.0116999311768753
1,101,2201,2,206,32.33566,-86.301926,11010022012,POINT (-86.301926 32.33566),0.5371005838778034,6,0.6823416899967043,1.87836893693324,3.033278404943641,0.0613364033777091,0.0588849968057038,0.0676972360446364,0.0625092312061857,Excellent,0.8024407521095606,6,1.4940232354916323,0.2653401682317572,0.8024407521095606,6,1.4940232354916323,0.8040563212248499,6,1.4970311806769179,1.0,1.0020133188787361,1.0020133188787361
1,101,2201,3,826,32.331144,-86.303473,11010022013,POINT (-86.303473 32.331144),0.6291913259247239,5,0.714900029998006,1.6325179306411608,3.330718099984494,0.0757027468503255,0.0628507980942196,0.0584866989662704,0.0666823478582772,Excellent,0.7595660332807239,6,1.207209956628674,0.13037470735599999,0.7595660332807239,6,1.207209956628674,0.7282488473535735,6,1.1574362476839053,1.0,0.9587696335078533,0.9587696335078533
1,101,2201,4,945,32.330424,-86.311966,11010022014,POINT (-86.311966 32.330424),0.5971194694367962,7,0.8002544100017772,1.1027446333814843,3.3777906188856632,0.0706994718644938,0.0732474740361099,0.0386393260751403,0.0618458287791726,Excellent,0.7609951905750184,7,1.2744437746985373,0.16387572113822224,0.7609951905750184,7,1.2744437746985373,0.8195906396410951,7,1.3725739681778155,1.0,1.0769984485996569,1.0769984485996569
1,101,2201,5,967,32.339492,-86.312504,11010022015,POINT (-86.312504 32.339492),0.2455783810727514,7,0.3189476700013145,1.5380254467591714,2.758734059923244,0.0158583455154187,0.0146214233962789,0.0549466421670398,0.0272137578751631,Excellent,0.27334186685225,7,1.1130534603991618,0.02776348577949858,0.27334186685225,7,1.1130534603991618,0.3871152149328296,7,1.5763407725134753,1.0,1.4162309615821778,1.4162309615821778
1,101,2202,1,884,32.32284,-86.310586,11010022021,POINT (-86.310586 32.32284),0.585435633777408,5,0.6327210299981019,0.9898588012213396,3.89387759117011,0.068876769685866,0.0528409025013999,0.0344101827479905,0.0537260334491635,Excellent,0.4936185019946065,5,0.8431644292125343,-0.09181713178280154,0.4936185019946065,5,0.8431644292125343,0.5561285993015771,5,0.9499397836671931,1.0,1.1266364551863042,1.1266364551863042
1,101,2300,1,602,32.347302,-86.319184,11010023001,POINT (-86.319184 32.347302),0.6712767486341353,7,0.7952505299971335,1.4934773216414523,2.3348096795588344,0.0822681585778757,0.0726379714088507,0.0532776957414922,0.0706819635762531,Excellent,0.7986503784159966,7,1.189748311767139,0.1273736297818613,0.7986503784159966,7,1.189748311767139,0.9152820410851654,7,1.363494330687774,1.0,1.146035944915584,1.146035944915584
1,101,2300,2,735,32.340799,-86.320479,11010023002,POINT (-86.320479 32.340799),0.3694241584809862,7,0.5030175899984997,1.405029164523176,2.788431122858248,0.0351785392323222,0.0370422447855955,0.0499640829849791,0.0401733140241012,Excellent,0.4145177526190861,7,1.1220645512830498,0.04509359413809988,0.4145177526190861,7,1.1220645512830498,0.5300309443622852,7,1.4347490065124293,1.0,1.2786688652375955,1.2786688652375955
1,101,2300,3,527,32.334569,-86.319249,11010023003,POINT (-86.319249 32.334569),0.3438558742305095,7,0.4861443299982113,1.0179667117749285,3.1778714803845953,0.0311898347720988,0.0349869804125369,0.0354632146483019,0.0336109924270911,Excellent,0.4139585171561013,7,1.2038721690663843,0.07010264292559182,0.4139585171561013,7,1.2038721690663843,0.472864652590503,7,1.3751827088854975,1.0,1.1422996097268088,1.1422996097268088
1,101,2300,4,637,32.330656,-86.320493,11010023004,POINT (-86.320493 32.330656),0.6112675905629938,7,0.8419773299984925,0.7358447569864864,3.4607274809563844,0.0729066075990238,0.078329576191103,0.0248938264469254,0.060129663831018,Excellent,0.6997899760150125,7,1.1448177309228633,0.08852238545201863,0.6997899760150125,7,1.1448177309228633,0.7574533659761145,7,1.239151850466143,1.0,1.082400994494761,1.082400994494761
1,101,2400,1,798,32.340075,-86.335925,11010024001,POINT (-86.335925 32.340075),0.5122450370729686,9,0.6400460699977089,1.008831559899691,3.320490671309378,0.0574588874118152,0.0537331363520111,0.0351209762481734,0.0496397887447814,Excellent,0.807038910360769,9,1.5754938592910317,0.2947938732878004,0.807038910360769,9,1.5754938592910317,0.8102700485913481,9,1.5818016573109837,1.0,1.0040036957191254,1.0040036957191254
1,101,2400,2,960,32.346879,-86.332025,11010024002,POINT (-86.332025 32.346879),0.4199544335868235,9,0.4396700699976463,0.7318641901508984,2.782629435254917,0.0430613651472919,0.029326136518601,0.0247446988961171,0.0334457966833322,Excellent,0.7956677892800776,9,1.8946526709678784,0.37571335569325415,0.7956677892800776,9,1.8946526709678784,0.7792014117588577,9,1.8554427562621782,1.0,0.9793049590003904,0.9793049590003904
1,101,2500,1,1673,32.41724,-86.272741,11010025001,POINT (-86.272741 32.41724),0.4394735669425453,22,0.4636110000002702,2.2177223449387165,3.5746015501172272,0.0461063897376381,0.0322422855313847,0.080410737584634,0.0522384628298609,Excellent,0.3879851367641393,22,0.8828406665351562,-0.051488430178405986,0.3879851367641393,22,0.8828406665351562,0.3908434513527284,22,0.8893446176339098,1.0,1.0073670723894939,1.0073670723894939
1,101,2500,2,642,32.41365,-86.27875,11010025002,POINT (-86.27875 32.41365),0.2736178448130034,22,0.2967000000000439,2.0166009930076205,3.1141883216172124,0.0202325590131793,0.0119115236177894,0.0728759477249102,0.0335292650080816,Excellent,0.4565225496166131,22,1.668467748982567,0.1829047048036097,0.4565225496166131,22,1.668467748982567,0.4579517069109076,22,1.6736909364368473,1.0,1.00313052946781,1.00313052946781
1,101,2600,1,954,32.396763,-86.241793,11010026001,POINT (-86.241793 32.396763),1.1271665065211307,44,1.55913711000305,2.266464015839575,4.720774033229556,0.1533878900717921,0.1656839431367163,0.0822367905826051,0.1357313761445133,Excellent,1.3932419501161966,44,1.2360569108962234,0.26607544359506585,1.3932419501161966,44,1.2360569108962234,1.3931176755688668,44,1.235946656957155,1.0,0.999910801891,0.999910801891
1,101,2600,2,1071,32.385056,-86.234518,11010026002,POINT (-86.234518 32.385056),0.502269796731299,43,0.630294300000287,2.620759758516569,5.080775688073718,0.0559027295854692,0.052545312217871,0.095510090227988,0.0667777125679454,Excellent,0.5717871922651522,43,1.138406481907259,0.06951739553385317,0.5717871922651522,43,1.138406481907259,0.7412976748232195,43,1.4758953846069984,1.0,1.2964572918930668,1.2964572918930668
