GEOID,full_geoid,center_lon,center_lat,poll_lon,poll_lat,poll_idx,osrm_distance_miles,osm_way_ids,num_way_ids,osm_way_ids_str
11010029021,011010029021,-86.256368,32.323024,-86.26101685000003,32.33230591,33,1.1184087886959873,[],0,
11010029022,011010029022,-86.253516,32.317935,-86.25377654999996,32.30848312000003,30,0.9216200429989935,[],0,
11010029023,011010029023,-86.250243,32.310367,-86.25377654999996,32.30848312000003,30,0.2022568257795121,[],0,
11010030002,011010030002,-86.364085,32.347694,-86.35552216,32.34832381999998,10,0.7623000733219829,[],0,
11010030003,011010030003,-86.354258,32.336653,-86.35552216,32.34832381999998,10,2.5368784719201662,['US 31'],1,US 31
11010031001,011010031001,-86.286795,32.321724,-86.30213165,32.32212448000002,5,1.1071619421626258,[],0,
11010031002,011010031002,-86.28631,32.314197,-86.30213165,32.32212448000002,5,1.4066636012278326,[],0,
11010031003,011010031003,-86.294602,32.319457,-86.30213165,32.32212448000002,5,0.9761144320031815,[],0,
11010032001,011010032001,-86.253117,32.296381,-86.23854828000002,32.29640961,29,1.3629810978413512,[],0,
11010032002,011010032002,-86.272341,32.324226,-86.26101685000003,32.33230591,33,1.137919892626791,[],0,
11010032003,011010032003,-86.268865,32.318286,-86.26101685000003,32.33230591,33,1.3517342513079897,[],0,
11010032004,011010032004,-86.268381,32.301885,-86.25377654999996,32.30848312000003,30,1.4579889892751068,[],0,
11010032005,011010032005,-86.260681,32.309879,-86.25377654999996,32.30848312000003,30,0.6876732076503412,[],0,
11010032006,011010032006,-86.257777,32.304962,-86.25377654999996,32.30848312000003,30,0.7568941305131296,[],0,
11010033011,011010033011,-86.269263,32.360071,-86.293396,32.36199187999997,15,1.582325673878733,[],0,
11010033012,011010033012,-86.262803,32.358802,-86.24391173999997,32.34976578000001,36,1.5720730237240113,[],0,
11010033013,011010033013,-86.250664,32.355563,-86.24391173999997,32.34976578000001,36,0.8874445424832541,[],0,
11010033014,011010033014,-86.251837,32.34814,-86.24391173999997,32.34976578000001,36,0.6216834230181317,[],0,
11010033031,011010033031,-86.242278,32.343551,-86.24391173999997,32.34976578000001,36,0.5707929958865126,[],0,
11010033032,011010033032,-86.233975,32.340085,-86.24391173999997,32.34976578000001,36,1.2152186610660272,[],0,
11010033041,011010033041,-86.230584,32.352123,-86.24391173999997,32.34976578000001,36,1.498191805336349,[],0,
11010033042,011010033042,-86.237123,32.353994,-86.24391173999997,32.34976578000001,36,1.456497694707147,[],0,
11010033043,011010033043,-86.226213,32.35269,-86.2087,32.3527,37,1.2184497992966061,[],0,
11010051011,011010051011,-86.246323,32.452586,-86.22198486000002,32.42712402,48,2.6486012899698013,[],0,
11010051012,011010051012,-86.196477,32.409304,-86.18080901999998,32.40631484999998,46,1.2785986802043072,[],0,
11010051013,011010051013,-86.205483,32.428719,-86.22198486000002,32.42712402,48,1.460474480221706,[],0,
11010051021,011010051021,-86.285931,32.431477,-86.2844,32.4342,23,0.2777536132824636,[],0,
11010051022,011010051022,-86.274504,32.428554,-86.2844,32.4342,23,0.94864975704326,[],0,
11010051023,011010051023,-86.293901,32.423447,-86.2844,32.4342,23,1.1727167658791804,[],0,
11010053011,011010053011,-86.248644,32.407117,-86.22518921000002,32.415882110000034,47,2.0837113350814622,[],0,
11010053021,011010053021,-86.222909,32.396854,-86.22757721,32.38286208999998,43,1.2971777250301366,[],0,
11010053022,011010053022,-86.214953,32.394597,-86.1984,32.39,45,1.2656741272819916,[],0,
11010054021,011010054021,-86.198555,32.398462,-86.1984,32.39,45,0.588812805249357,[],0,
11010054022,011010054022,-86.192076,32.392563,-86.1984,32.39,45,0.5665676612772937,[],0,
11010054023,011010054023,-86.201648,32.390472,-86.1984,32.39,45,0.254017174742441,[],0,
11010054024,011010054024,-86.193613,32.384235,-86.19712067000003,32.381427759999966,42,0.3710837983272646,[],0,
11010054031,011010054031,-86.204952,32.376499,-86.19712067000003,32.381427759999966,42,0.8776268532441872,[],0,
11010054032,011010054032,-86.200865,32.374405,-86.19712067000003,32.381427759999966,42,0.6716417910447762,[],0,
11010054033,011010054033,-86.196805,32.377116,-86.19712067000003,32.381427759999966,42,0.5359339853604583,[],0,
11010054071,011010054071,-86.161589,32.371172,-86.17120360999998,32.353286740000016,38,1.7430748008500379,['AL 271'],1,AL 271
11010054072,011010054072,-86.17898,32.372885,-86.17120360999998,32.353286740000016,38,1.779238694123057,['AL 271'],1,AL 271
11010054073,011010054073,-86.153597,32.374012,-86.12989043999995,32.369251250000026,40,2.4587719189232855,['AL 126'],1,AL 126
11010054091,011010054091,-86.209352,32.357723,-86.2087,32.3527,37,0.5069780158325773,[],0,
11010054092,011010054092,-86.197682,32.354675,-86.2087,32.3527,37,1.1374849317111362,[],0,
11010054101,011010054101,-86.199811,32.34524,-86.20451355000003,32.33990479,34,0.9507002870742044,[],0,
11010054102,011010054102,-86.21886,32.348524,-86.2087,32.3527,37,0.9038487827308089,[],0,
11010054103,011010054103,-86.206576,32.351274,-86.2087,32.3527,37,0.29409571625635356,[],0,
11010054104,011010054104,-86.214256,32.349411,-86.2087,32.3527,37,0.7444045385064685,[],0,
11010054111,011010054111,-86.155012,32.344688,-86.12441122000001,32.34152959000004,35,2.1287608584885733,[],0,
11010054112,011010054112,-86.142779,32.353352,-86.12989043999995,32.369251250000026,40,2.482632632010638,"['AL 110; AL 126', 'AL 110', 'AL 126', 'SR 126']",4,"AL 110; AL 126,AL 110,AL 126,SR 126"
11010054121,011010054121,-86.178142,32.3569,-86.17120360999998,32.353286740000016,38,1.6116544670486037,['AL 271'],1,AL 271
11010054122,011010054122,-86.185114,32.343599,-86.17120360999998,32.353286740000016,38,1.3556488995488833,['AL 271'],1,AL 271
11010054123,011010054123,-86.169532,32.343395,-86.17120360999998,32.353286740000016,38,1.1936570271042788,['AL 271'],1,AL 271
11010054124,011010054124,-86.162183,32.352042,-86.17120360999998,32.353286740000016,38,2.29938981197261,['AL 271'],1,AL 271
11010054131,011010054131,-86.156766,32.393266,-86.18080901999998,32.40631484999998,46,2.3779313258851458,[],0,
11010054132,011010054132,-86.143573,32.38053,-86.12989043999995,32.369251250000026,40,2.0064747039158912,['AL 126'],1,AL 126
11010054141,011010054141,-86.1795,32.401258,-86.18080901999998,32.40631484999998,46,0.34554537885095754,[],0,
