STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_network_dist_miles,nearest_poll_network_idx
1,101,5102,1,1272,32.431477,-86.285931,011010051021,POINT (-86.285931 32.431477),0.2777536132824636,23
1,101,5102,2,1488,32.428554,-86.274504,011010051022,POINT (-86.274504 32.428554),0.94864975704326,23
1,101,5102,3,1479,32.423447,-86.293901,011010051023,POINT (-86.293901 32.423447),1.1727167658791804,23
1,101,5301,1,1154,32.407117,-86.248644,011010053011,POINT (-86.248644 32.407117),2.0837113350814622,47
1,101,5302,1,828,32.396854,-86.222909,011010053021,POINT (-86.222909 32.396854),1.2971777250301366,43
1,101,5302,2,1370,32.394597,-86.214953,011010053022,POINT (-86.214953 32.394597),1.2656741272819916,45
1,101,5402,1,2165,32.398462,-86.198555,011010054021,POINT (-86.198555 32.398462),0.588812805249357,45
1,101,5402,2,1774,32.392563,-86.192076,011010054022,POINT (-86.192076 32.392563),0.5665676612772937,45
1,101,5402,3,750,32.390472,-86.201648,011010054023,POINT (-86.201648 32.390472),0.254017174742441,45
1,101,5402,4,797,32.384235,-86.193613,011010054024,POINT (-86.193613 32.384235),0.3710837983272646,42
1,101,5403,1,1466,32.376499,-86.204952,011010054031,POINT (-86.204952 32.376499),0.8776268532441872,42
1,101,5403,2,1310,32.374405,-86.200865,011010054032,POINT (-86.200865 32.374405),0.6716417910447762,42
1,101,5403,3,1129,32.377116,-86.196805,011010054033,POINT (-86.196805 32.377116),0.5359339853604583,42
1,101,5407,1,1700,32.371172,-86.161589,011010054071,POINT (-86.161589 32.371172),1.7430748008500379,38
1,101,5407,2,1080,32.372885,-86.17898,011010054072,POINT (-86.17898 32.372885),1.6832987435843265,42
1,101,5407,3,1555,32.374012,-86.153597,011010054073,POINT (-86.153597 32.374012),2.4587719189232855,40
1,101,5409,1,1281,32.357723,-86.209352,011010054091,POINT (-86.209352 32.357723),0.5069780158325773,37
1,101,5409,2,1044,32.354675,-86.197682,011010054092,POINT (-86.197682 32.354675),1.1374849317111362,37
1,101,5410,1,1171,32.34524,-86.199811,011010054101,POINT (-86.199811 32.34524),0.9507002870742044,34
1,101,5410,2,1016,32.348524,-86.21886,011010054102,POINT (-86.21886 32.348524),0.9038487827308089,37
1,101,5410,3,1379,32.351274,-86.206576,011010054103,POINT (-86.206576 32.351274),0.29409571625635356,37
1,101,5410,4,1504,32.349411,-86.214256,011010054104,POINT (-86.214256 32.349411),0.7444045385064685,37
1,101,5411,1,1687,32.344688,-86.155012,011010054111,POINT (-86.155012 32.344688),1.9431568220512756,38
1,101,5411,2,1405,32.353352,-86.142779,011010054112,POINT (-86.142779 32.353352),2.482632632010638,40
1,101,5412,1,757,32.3569,-86.178142,011010054121,POINT (-86.178142 32.3569),1.6116544670486037,38
1,101,5412,2,2043,32.343599,-86.185114,011010054122,POINT (-86.185114 32.343599),1.3556488995488833,38
1,101,5412,3,1290,32.343395,-86.169532,011010054123,POINT (-86.169532 32.343395),1.1936570271042788,38
1,101,5412,4,2291,32.352042,-86.162183,011010054124,POINT (-86.162183 32.352042),2.29938981197261,38
1,101,5413,1,1660,32.393266,-86.156766,011010054131,POINT (-86.156766 32.393266),2.3779313258851458,46
1,101,5413,2,2313,32.38053,-86.143573,011010054132,POINT (-86.143573 32.38053),2.0064747039158912,40
1,101,5414,1,2080,32.401258,-86.1795,011010054141,POINT (-86.1795 32.401258),0.34554537885095754,46
1,101,5414,2,1865,32.387752,-86.170527,011010054142,POINT (-86.170527 32.387752),1.9088570469882065,42
1,101,5501,1,1906,32.379449,-86.096457,011010055011,POINT (-86.096457 32.379449),2.0245566505524004,39
1,101,5501,2,1520,32.392981,-86.097368,011010055012,POINT (-86.097368 32.392981),2.9499670672449576,39
1,101,5502,1,3195,32.34996,-86.049541,011010055021,POINT (-86.049541 32.34996),5.260603725750929,39
1,101,5503,1,3052,32.345725,-86.077546,011010055031,POINT (-86.077546 32.345725),2.016789491344278,39
1,101,5503,2,1546,32.352314,-86.088412,011010055032,POINT (-86.088412 32.352314),1.083798327264593,39
1,101,5503,3,1578,32.349191,-86.124244,011010055033,POINT (-86.124244 32.349191),1.039121627499472,35
1,101,5504,1,1829,32.344563,-86.025337,011010055041,POINT (-86.025337 32.344563),5.241465445462115,31
1,101,5604,1,1143,32.289686,-86.037603,011010056041,POINT (-86.037603 32.289686),3.821442330396312,31
1,101,5604,2,848,32.22081,-86.080075,011010056042,POINT (-86.080075 32.22081),8.864130637404154,31
1,101,5604,3,1550,32.226132,-86.189447,011010056043,POINT (-86.189447 32.226132),6.39889644201971,29
1,101,5605,1,1675,32.326287,-86.212408,011010056051,POINT (-86.212408 32.326287),1.678327761691128,34
1,101,5605,2,2037,32.331462,-86.201442,011010056052,POINT (-86.201442 32.331462),0.8833434824213653,34
1,101,5606,1,1160,32.332314,-86.222282,011010056061,POINT (-86.222282 32.332314),1.5989163259472827,32
1,101,5606,2,1110,32.339037,-86.220162,011010056062,POINT (-86.220162 32.339037),1.3208520262964942,34
1,101,5606,3,862,32.331869,-86.228416,011010056063,POINT (-86.228416 32.331869),1.569276846409087,32
1,101,5606,4,1638,32.326274,-86.228217,011010056064,POINT (-86.228217 32.326274),1.3208520262964942,32
1,101,5607,1,824,32.318155,-86.132638,011010056071,POINT (-86.132638 32.318155),3.4622888886127234,35
1,101,5607,2,1115,32.335081,-86.149464,011010056072,POINT (-86.149464 32.335081),2.5197285843886315,38
1,101,5607,3,3701,32.327454,-86.138466,011010056073,POINT (-86.138466 32.327454),2.2584413486273878,35
1,101,5608,1,1633,32.321799,-86.112943,011010056081,POINT (-86.112943 32.321799),4.201225347036673,35
1,101,5609,1,1236,32.327167,-86.182538,011010056091,POINT (-86.182538 32.327167),2.2165608261771905,38
1,101,5609,2,1364,32.312591,-86.207783,011010056092,POINT (-86.207783 32.312591),2.771570954552798,34
1,101,5609,3,1191,32.308119,-86.19557,011010056093,POINT (-86.19557 32.308119),3.9015372761504716,38
1,101,5609,4,1243,32.332544,-86.190327,011010056094,POINT (-86.190327 32.332544),1.1457491891085787,34
1,101,5610,1,1400,32.286358,-86.218959,011010056101,POINT (-86.218959 32.286358),1.3038885505859545,29
1,101,5611,1,2006,32.334131,-86.172264,011010056111,POINT (-86.172264 32.334131),1.9435917829669307,38
1,101,5611,2,1638,32.321405,-86.173607,011010056112,POINT (-86.173607 32.321405),2.678240769507997,38
1,101,5612,1,2131,32.313397,-86.152816,011010056121,POINT (-86.152816 32.313397),3.541078951619919,35
1,101,5613,1,1769,32.300314,-86.226886,011010056131,POINT (-86.226886 32.300314),1.1524600146643966,29
1,101,5613,2,1464,32.306224,-86.219811,011010056132,POINT (-86.219811 32.306224),1.7056060248300546,29
1,101,5613,3,1599,32.311065,-86.227255,011010056133,POINT (-86.227255 32.311065),1.852560677047734,29
1,101,5614,1,1943,32.321375,-86.231702,011010056141,POINT (-86.231702 32.321375),0.8702325176780544,32
1,101,5614,2,865,32.315468,-86.236936,011010056142,POINT (-86.236936 32.315468),1.032535076490984,32
1,101,5700,1,771,32.093655,-86.080687,011010057001,POINT (-86.080687 32.093655),2.5028893832254218,27
1,101,5700,2,646,32.007181,-86.096696,011010057002,POINT (-86.096696 32.007181),5.24165185728311,25
1,101,5800,1,656,32.080162,-86.280198,011010058001,POINT (-86.280198 32.080162),6.6744131134502345,26
