STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE,GEOID,geometry,min_dist_to_poll_miles,nearest_polling_idx,min_manhattan_dist_miles,min_dist_to_civic_center_miles,dist_to_city_hall_miles,min_dist_to_poll_miles_norm,min_manhattan_dist_miles_norm,min_dist_to_civic_center_miles_norm,accessibility_score,accessibility_category
1,101,1000,2,878,32.360929,-86.34309,011010010002,POINT (-86.34309 32.360929),0.7659034218793284,13,0.8392200900012767,0.5198935532407849,2.734980932698427,0.09703011248654167,0.07799372780530489,0.016803452528119822,0.06725119909464408,Excellent
1,101,1100,1,294,32.366283,-86.325275,011010011001,POINT (-86.325275 32.366283),0.6463743454454417,13,0.9138794699987116,1.2983730458357872,1.4931819274272045,0.0783833329205901,0.08708768853492982,0.04596832900934671,0.071270138431519,Excellent
1,101,1100,2,479,32.365514,-86.330903,011010011002,POINT (-86.330903 32.365514),0.4014151729189057,13,0.4724864699982376,0.9888781045223815,1.846054613089148,0.04016920269356808,0.033323371064391476,0.03437344202667066,0.03637672500474587,Excellent
1,101,1100,3,394,32.361711,-86.330681,011010011003,POINT (-86.330681 32.361711),0.16150827530387268,13,0.2253974699989385,0.8098539200384459,1.9810068497717823,0.002743237651052358,0.0032264473718410704,0.027666498199259336,0.010365178731751065,Excellent
1,101,1100,4,335,32.356395,-86.32922,011010011004,POINT (-86.32922 32.356395),0.30586980257854074,13,0.43065590999849945,0.7388106329931271,2.153655944023436,0.025263930165427783,0.02822815771077257,0.025004939723787725,0.026075501296539204,Excellent
1,101,1100,5,396,32.354823,-86.325613,011010011005,POINT (-86.325613 32.354823),0.5616575547084514,13,0.78800690999838,0.9729530894018436,2.0789140274909834,0.0651673408830271,0.07175565500317932,0.0337768288809551,0.05772668151845117,Excellent
1,101,1100,6,786,32.355658,-86.336614,011010011006,POINT (-86.336614 32.355658),0.4259042672494931,13,0.6016365300010804,0.2355029739937058,2.5614174944239227,0.04398955132652044,0.04905462377416363,0.00614907281091303,0.034156929506131174,Excellent
1,101,1200,1,262,32.355227,-86.314374,011010012001,POINT (-86.314374 32.355227),0.3918791794660898,14,0.5011897799987608,1.660393217284794,1.7136999872222631,0.03868156827722279,0.036819606553675964,0.05953101586809447,0.04437781403742025,Excellent
1,101,1200,2,876,32.362324,-86.317695,011010012002,POINT (-86.317695 32.362324),0.15483711605366923,14,0.21765222000133377,1.3462740298993232,1.3462740298993232,0.0017025232098535456,0.0022830294205834385,0.04776288660120486,0.01569478409047791,Excellent
1,101,1200,3,317,32.355867,-86.318857,011010012003,POINT (-86.318857 32.355867),0.3698094088967792,14,0.5016989999967691,1.4427593737064863,1.7786931537781243,0.03523863908246169,0.036881632606729,0.05137760370184989,0.040573226525558344,Excellent
1,101,1300,1,1020,32.355389,-86.304777,011010013001,POINT (-86.304777 32.355389),0.7175321928653267,8,0.949052909999196,1.36427649061683,1.6578942459907986,0.08948410216279301,0.09137202470409186,0.048437328957334304,0.07773644696354506,Excellent
1,101,1300,2,1074,32.347924,-86.307513,011010013002,POINT (-86.307513 32.347924),0.1749222051722176,8,0.24518390999904938,1.9103925030593751,2.1589166583370987,0.004835838052817447,0.005636554559260393,0.06889696366680391,0.024294390688946267,Excellent
1,101,1400,1,792,32.355633,-86.286891,011010014001,POINT (-86.286891 32.355633),0.27851221953439326,12,0.39384786000249505,1.5948178986865729,2.179890923640542,0.020996091446171945,0.02374471623015438,0.05707430880602524,0.03264414408932266,Excellent
1,101,1400,2,1139,32.34896,-86.28823,011010014002,POINT (-86.28823 32.34896),0.2804494810264038,12,0.3633581399973238,1.9495479595282805,2.4904685692857336,0.021298308187745345,0.02003088527691296,0.07036387970292843,0.035637752769050554,Excellent
1,101,1400,3,1131,32.352186,-86.297267,011010014003,POINT (-86.297267 32.352186),0.5227891180221514,12,0.5599391399976525,1.5588706328250552,2.0043080580547876,0.05910378553243036,0.04397563132563195,0.055727584096303934,0.053552478839552914,Excellent
1,101,1400,4,493,32.357737,-86.29382,011010014004,POINT (-86.29382 32.357737),0.29504080344097566,15,0.32284271999755987,1.2416150142493234,1.7725074357443305,0.02357458422666163,0.015095863871233288,0.043841951890511065,0.02711117841918796,Excellent
1,101,1500,1,1060,32.357476,-86.27282,011010015001,POINT (-86.27282 32.357476),1.210330953609828,12,1.4919138600026471,1.9061838845024344,2.848602768958216,0.1663617133359995,0.15749574768635993,0.06873929240951668,0.1344151973631628,Excellent
1,101,1500,2,644,32.361251,-86.28078,011010015002,POINT (-86.28078 32.361251),0.8510074552493333,12,0.9216247199982774,1.6203371547187773,2.2455289450018947,0.11030651516419153,0.08803110648642633,0.058030359616806505,0.08794104589664646,Excellent
1,101,1500,3,2408,32.363839,-86.295351,011010015003,POINT (-86.295351 32.363839),0.18558149099267277,15,0.2623462800016867,0.8115999339837365,1.3700408318448627,0.00649870836817907,0.0077270342663868,0.027731910688006026,0.013237166833589475,Excellent
1,101,1600,1,784,32.378588,-86.266627,011010016001,POINT (-86.266627 32.378588),0.730984398796291,41,0.7444327199994945,0.6050724566138435,2.8495402204235405,0.0915826737083468,0.06644805704711948,0.019994586295048754,0.0625658624859892,Excellent
1,101,1600,2,1351,32.36978,-86.276672,011010016002,POINT (-86.276672 32.36978),1.1564646684719195,16,1.5174390300010359,1.0955756988108274,2.252152393920411,0.15795846305606584,0.16060486664221416,0.03837074983999991,0.12287607016709055,Excellent
1,101,1600,3,1141,32.374988,-86.279077,011010016003,POINT (-86.279077 32.374988),0.8799685350926955,16,1.0305150000000864,0.8323284213298233,2.0113753665120613,0.11482450265261487,0.10129459635479031,0.028508480628308623,0.08487072415597564,Excellent
1,101,1600,4,554,32.377926,-86.272316,011010016004,POINT (-86.272316 32.377926),0.9330318760561447,18,1.1555029799978271,0.49516878784099777,2.45827301579571,0.1231024920046505,0.1165188827313133,0.01587716643353255,0.08895981155131395,Excellent
1,101,1700,1,1085,32.374791,-86.248557,011010017001,POINT (-86.248557 32.374791),0.5726591999919072,41,0.7175385899971687,1.79869478720747,4.107380155783559,0.06688361997246572,0.06317219054371453,0.06471233180810605,0.06511880469453246,Excellent
1,101,1700,2,609,32.362839,-86.248042,011010017002,POINT (-86.248042 32.362839),0.9460001381541806,36,1.1870401200009226,2.2819562130952584,4.283218850762074,0.12512556732581984,0.12036029572888557,0.08281718868388165,0.1110034722541581,Excellent
1,101,1700,3,1498,32.364283,-86.258176,011010017003,POINT (-86.258176 32.364283),0.9846176836767597,41,1.1212099799981203,1.7435638726079203,3.5835393395720088,0.13114998314347176,0.11234178944030182,0.06264691283446916,0.10495660393982,Excellent
1,101,1700,4,1297,32.376159,-86.259864,011010017004,POINT (-86.259864 32.376159),0.3058297569182888,41,0.4182379799971798,1.0680744826542163,3.3225400397674885,0.025257682960801348,0.026715579280853757,0.03734044707683084,0.02931988109162592,Excellent
1,101,1700,5,980,32.376189,-86.253552,011010017005,POINT (-86.253552 32.376189),0.22899827940071302,41,0.32327328000082645,1.4447760129599458,3.7571788516469873,0.013271815858506583,0.015148308664661629,0.051453154869599074,0.025289165403680845,Excellent
1,101,1800,1,999,32.39964,-86.264009,011010018001,POINT (-86.264009 32.39964),1.0744256549143065,21,1.0878250199990234,1.161802405850458,3.341738330387063,0.14516020971673668,0.10827530087312758,0.040851860452343375,0.10280223228433596,Excellent
1,101,1800,2,1116,32.391625,-86.268629,011010018002,POINT (-86.268629 32.391625),0.6896895768300657,18,0.7949869499983677,0.5234925275735904,2.8431976483288137,0.08514059730825578,0.07260586578249842,0.016938284136240277,0.06091948389892392,Excellent
1,101,1800,3,1260,32.386239,-86.265845,011010018003,POINT (-86.265845 32.386239),0.8668385971928481,41,1.1288310300011375,0.46587186361241323,2.9434080672963066,0.11277620557681083,0.11327007908653686,0.014779589445912344,0.0835253827904591,Excellent
1,101,1900,1,868,32.399366,-86.254102,011010019001,POINT (-86.254102 32.399366),1.1494978585241447,44,1.3607414100025963,1.6063892948965532,3.9653342849066604,0.15687162650340586,0.14151815573274157,0.05750781841596301,0.12245644284597373,Excellent
